name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
PEJMOI_clean,,,,,
LADQEP_clean,,,,,
HICVUM_clean,,,,,
KAKCEH_clean,,,,,
HADQUA_clean,,,,,
BUCVAY_clean,0.0,346.3333333333333,0.0,0.0,
KOSKEK_clean,,,,,
MAKFOW_clean,,,,,
KONFIE_clean,,,,,
IDAGUR_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
LAZHUR_clean,0.0,346.3333333333333,0.0,0.0,
KEFFEI_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
WAXJAJ01_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
XEGJUQ_clean,,,,,
KIFKAM_clean,0.0,427.0,0.0,0.0,260.0
KUMBUR_clean,0.0,346.3333333333333,0.0,0.0,
NATFAS_clean,,276.0,,0.0,
TAKTIL_clean,,,,,
SABYIG_clean,,,,,
IYOWID_manual,,,,,
PODKUQ_clean,,,,,
TOBJUR_clean,,,,,
ZUTBIB_clean,277.51851851851853,42.21333333333333,0.0,0.0,
FOJLOH_clean,,,,,
DIBXAP_clean,,,,,
FAMQES_clean,,,,,
WAHKUO_clean,,,,,
LIPQOR_clean,,,,,
QOPPOC_clean,,,,,
FERVIJ_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
FIRNIF_clean,,,,,
YARKAF_clean,,,,,
QAQHOG_clean,277.51851851851853,42.21333333333333,0.0,0.0,
LETDEU_clean,260.0,0.0,0.0,,170.0
TIKXER_clean,0.0,174.65740740740742,0.0,0.0,
RAWZIA_clean,,276.0,,0.0,
PUGSOB_clean,,,,,
HEGNOX_clean,277.51851851851853,42.21333333333333,0.0,0.0,
KEVWUF_clean,,252.0,,,
OCAWAT_clean,,,,,
HUTTIA_clean,,,,,
UHIYOB_clean,0.0,174.65740740740742,0.0,0.0,
RUYQIN_clean,,,,,
HADDOI_clean,,,,,
OYIVIC_clean,,,,,
GEFZAU_clean,,,,,
FATQID_clean,,,,,
FAPXEC_clean,,,,,
VITZIJ_clean,,,,,
VUNXUY_clean,,,,,
TISJOW_clean,,,,,
GEGGEG01_clean,,,,,
QIQZIB_clean,,,,,
ERIJUM_clean,115.0,55.0,,,
HEBJAB_clean,,,,,
RUFTET_clean,0.0,427.0,0.0,0.0,260.0
PODKOK_clean,,,,,
OWAVIS_clean,,,,,
EKOPEA_clean,0.0,346.3333333333333,0.0,0.0,
VEHJID01_clean,,,,,
ETECOX_clean,0.0,174.65740740740742,0.0,0.0,
OXAMIK_clean,,,,,
XEHTUB_clean,,,,,
MUGHED_clean,,,,,
VULFIT_clean,,,,,
QAJMUM_clean,,,,,
EPISOM_clean,,,,,
XEQRAO_clean,,,,,
XEGJOK_clean,,,,,
DAXHIV_clean,,,,,
VUQJUN_clean,,,,,
FARHOX_ion_b,,,,,
LAVTAF_clean,,,,,
KEFWAV_clean,,342.0,,,
HOWSET_clean,,,,,
TIVFIO_clean,,,,,
MOXKAN_clean,260.6666666666667,89.88,0.0,0.0,145.0
KAVTUY_clean,,,,,
JEJWOL_clean,,,,,
KIVDUQ_clean,,342.0,,,
UZUNAF_clean,,,,,
SAKDEQ_clean,,252.0,,,
EPEXUU_clean,,,,,
MEJZEI_clean,,,,,
KAVJEX_clean,,,,,
DAGJED_clean,,,,,
AZAVOO_clean,,,,,
PEDMER_clean,,,,,
UFEXEJ_clean,,,,,
OBUFIB_SL,,0.0,,0.0,
SEJBAL_clean,,,,,
GARLOD_clean,,,,,
REWNEO01_clean,,,,,
YOZJEE_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
VULFOZ_clean,,,,,
TAJXIO03_clean,0.0,346.3333333333333,0.0,0.0,
SABYUS_clean,,,,,
RAVJOP_clean,,,,,
ASINAT_clean,,,,,
NAHFOU_clean,,,,,
RESWOC_clean,,,,,
CAQCAZ_clean,,276.0,,0.0,
OMEWUZ_clean,,,,,
HOFJIX_clean,0.0,174.65740740740742,0.0,0.0,
QOMSES_clean,,,,,
FIXVUE_clean,,198.5,,,
AMUFIZ_clean,,,,,
HISJAW_clean,,,,,
FIRNUR_clean,,,,,
TIXMET_clean,277.51851851851853,42.21333333333333,0.0,0.0,
JADMAF_clean,,,,,
XUNSAC_clean,,315.0,,0.0,
HEGPAL_clean,277.51851851851853,42.21333333333333,0.0,0.0,
SODQOT_clean,,,,,
NAJTAW_clean,,,,,
NIMXIS_clean,,,,,
AVIPAX_clean,,324.0,,,
REYJEM_clean,,,,,
HASNIB_clean,0.0,174.65740740740742,0.0,0.0,
DOYBEA_clean,,,,,
YOZYOD_clean,,,,,
VEDGES_clean,,315.0,,0.0,
VUVZAP_clean,,,,,
XAFBEN_clean,0.0,427.0,0.0,0.0,260.0
RUYVEO_clean,,,,,
GUFBUG_clean,,,,,
NUHQOY_clean,,,,,
SOJTOC_clean,,,,,
GUPJEG01_clean,,,,,
XEGJIE_clean,,,,,
XADDOX_clean,0.0,346.3333333333333,0.0,0.0,
TETZID_clean,,,,,
TEWFUY_clean,,,,,
KOMJON_clean,,148.0,,,
MAXHEA_clean,0.0,0.0,,,
LEGGEK_clean,260.0,0.0,0.0,,170.0
KAYCIY_clean,,324.0,,,
NOHLAZ_clean,,,,,
FUSMOW_clean,,,,,
AVUPIR_SL,,,,,
NUWBOX_clean,277.51851851851853,42.21333333333333,0.0,0.0,
ANEPIT_clean,,,,,
WEHHUO_clean,,,,,
NABMUA_clean,,324.0,,,
IGAGAA_clean,260.0,0.0,0.0,,170.0
SOJKOT01_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
RUWWOW_clean,,,,,
VUCTOE_clean,0.0,174.65740740740742,0.0,0.0,
GADHIF_clean,,,,,
WUPZUE_clean,,,,,
SIVVAW_clean,,315.0,,0.0,
SIWZOP01_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
TUTHOG_clean,,,,,
MIFTUS_clean,,,,,
EZEQUX_clean,0.0,427.0,0.0,0.0,260.0
RUBGUS_clean,,,,,
FIJDIM04_clean,0.0,427.0,0.0,0.0,260.0
HUWHOY_clean,,,,,
ECOLEP_clean,,,,,
ZOZKEG_clean,,,,,
HEMVEB_clean,277.51851851851853,42.21333333333333,0.0,0.0,
AHOKIR_clean,,,,,
ISIKIF_clean,,,,,
PARFOF_clean_h,,,,,
PURNIB_clean,,,,,
PEVQOY_clean_h,0.0,427.0,0.0,0.0,260.0
QOCBUH_clean,277.51851851851853,42.21333333333333,0.0,0.0,
